更新时间,#genre#
20250823 14:37:59,url

SuZhou,#genre#
苏州文化生活,https://stream1.freetv.fun/308673562ebc517694bd977cdebe8b7f1b974d64895ebbb7a1adf078d2cad3b8.m3u8
苏州文化生活,https://stream1.freetv.fun/su-zhou-wen-hua-sheng-huo-3.m3u8
苏州新闻综合,https://stream1.freetv.fun/4f8bc68be9afbec05026641430a19dd462b7b2aa9fff8e01e2057af87c65d4df.m3u8
苏州新闻综合,https://stream1.freetv.fun/su-zhou-xin-wen-zong-he-2.m3u8
苏州生活资讯,https://stream1.freetv.fun/su-zhou-sheng-huo-zi-xun-2.m3u8
苏州生活资讯,https://stream1.freetv.fun/6552a7799d25c631a086b99ae0477bf57f95071f22ea714670af461db1d90f85.m3u8
苏州社会经济,https://stream1.freetv.fun/559c2bb359f77fce4c299f29e185919aebf91fa3648ead1846cf573abdb762f8.m3u8
苏州社会经济,https://stream1.freetv.fun/0aedec2d0f2776491d067c88c3b1517b10fabce1fa49249bcb0bf46254c190a6.m3u8


#苏州文化生活,https://stream1.freetv.fun/su-zhou-wen-hua-sheng-huo-2.m3u8
#苏州新闻综合,https://stream1.freetv.fun/su-zhou-xin-wen-zong-he-5.m3u8
#苏州新闻综合,https://stream1.freetv.fun/su-zhou-xin-wen-zong-he-13.m3u8
#苏州生活资讯,https://stream1.freetv.fun/su-zhou-sheng-huo-zi-xun-1.m3u8
#苏州社会经济,https://stream1.freetv.fun/su-zhou-she-hui-jing-ji-2.m3u8
#苏州电影娱乐,https://stream1.freetv.fun/su-zhou-dian-ying-yu-le-xin-xi-1.m3u8
#苏州电影娱乐,https://stream1.freetv.fun/su-zhou-dian-ying-yu-le-xin-xi-2.ctv
#苏州4k,https://stream1.freetv.fun/su-zhou-1.m3u8

#苏州新闻综合,http://61.155.203.93:5021/live_hls/1/.m3u8
#苏州社会经济,http://61.155.203.93:5021/live_hls/2/.m3u8
#苏州文化生活,http://61.155.203.93:5021/live_hls/3/.m3u8
#苏州生活资讯,http://61.155.203.93:5021/live_hls/4/.m3u8

#苏州新闻综合,rtmp://csztv.2500sz.com/live/c01
#苏州社会经济,rtmp://csztv.2500sz.com/live/c02
#苏州文化生活,rtmp://csztv.2500sz.com/live/c03
#苏州生活资讯,rtmp://csztv.2500sz.com/live/c04

苏州4k,https://live-auth.51kandianshi.com/szgd/csztv4k_hd.m3u8
苏州文化生活,https://live-auth.51kandianshi.com/szgd/csztv3.m3u8
苏州新闻综合,https://live-auth.51kandianshi.com/szgd/csztv1.m3u8
苏州生活资讯,https://live-auth.51kandianshi.com/szgd/csztv5.m3u8
苏州社会经济,https://live-auth.51kandianshi.com/szgd/csztv2.m3u8
苏州电影娱乐,https://live-auth.51kandianshi.com/szgd/csztv4.m3u8
苏州吴江新闻综合,https://ctlive2.wjdaily.com/wjtv/ch1.m3u8

苏州4K,https://tylive.kan0512.com/norecord/csztv4k_4k.m3u8
苏州4K,https://stream1.freetv.fun/0aedec2d0f2776491d067c88c3b1517b10fabce1fa49249bcb0bf46254c190a6.m3u8
苏州4K,https://stream1.freetv.fun/69cfaa07a38f6f0ce56fd1419e12cdfce9a11b7dc034c7694eb163b98eecdfe0.ctv
苏州4K,https://stream1.freetv.fun/b15a7c64e8d3b0ed1b3b1998eb9bd59563bba49661e8a838a36808f141833865.m3u8

苏州新闻综合广播,https://radio.0472.org/?id=694
苏州儿童广播,https://radio.0472.org/?id=695
苏州生活广播,https://radio.0472.org/?id=696
苏州都市音乐广播,https://radio.0472.org/?id=697
苏州交通经济广播,https://radio.0472.org/?id=698
